time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-08T12:39:00.550Z,33.8798333,-116.9123333,9.93,1.43,ml,56,28,0.07029,0.22,ci,ci39336255,2020-08-08T12:42:39.416Z,"6km SSW of Banning, CA",earthquake,0.21,0.56,0.172,26,automatic,ci,ci
2020-08-08T12:31:38.780Z,38.8264999,-122.809166,1.3,0.56,md,13,63,0.00318,0.02,nc,nc73439946,2020-08-08T12:41:02.606Z,"7km NW of The Geysers, CA",earthquake,0.25,0.58,,1,automatic,nc,nc
2020-08-08T12:31:31.540Z,38.8263321,-122.8106689,1.51,0.56,md,12,133,0.002969,0.02,nc,nc73439941,2020-08-08T12:38:03.586Z,"7km NW of The Geysers, CA",earthquake,0.35,0.82,,1,automatic,nc,nc
2020-08-08T12:29:37.050Z,35.6676667,-117.4673333,6.36,1.39,ml,16,148,0.0811,0.2,ci,ci39336247,2020-08-08T12:33:19.318Z,"12km SSW of Searles Valley, CA",earthquake,0.49,1.36,0.148,19,automatic,ci,ci
2020-08-08T12:27:13.160Z,60.2676,-153.8012,39.2,1.9,ml,,,,1,ak,ak020a5p2po7,2020-08-08T12:33:54.551Z,"29 km ENE of Port Alsworth, Alaska",earthquake,,11,,,automatic,ak,ak
2020-08-08T12:18:12.350Z,38.8348351,-122.7821655,2.02,1.62,md,33,57,0.007317,0.04,nc,nc73439936,2020-08-08T12:24:02.581Z,"5km WNW of Cobb, CA",earthquake,0.19,0.3,0.18,9,automatic,nc,nc
2020-08-08T12:05:14.540Z,36.4606667,-117.9923333,6.51,2.08,ml,19,165,0.07379,0.22,ci,ci39336239,2020-08-08T12:16:17.190Z,"16km SSE of Lone Pine, CA",earthquake,0.49,1.17,0.157,25,automatic,ci,ci
2020-08-08T11:52:39.490Z,38.2248,-117.8168,6.8,1.3,ml,14,111.91,0.061,0.1,nn,nn00766388,2020-08-08T12:06:32.664Z,"31 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-08-08T11:49:18.935Z,66.3162,-157.3518,11.2,0.9,ml,,,,0.61,ak,ak020a5om0c7,2020-08-08T11:55:37.815Z,"64 km S of Shungnak, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-08T11:43:00.840Z,40.0807,-119.651,19.6,1.2,ml,11,98.57,0.133,0.1,nn,nn00766386,2020-08-08T11:53:31.047Z,"15 km NNW of Sutcliffe, Nevada",earthquake,,1.7,,,automatic,nn,nn
